Year,SERIES,Reference area,UNIT_MEASURE,Value
2014,Proportion of children moderately or severely wasted [2.2.2],,Percent,11.3
2019,Proportion of children moderately or severely wasted [2.2.2],,Percent,12.0
2019,Proportion of children moderately or severely wasted [2.2.2],Province 1,Percent,14.3
2019,Proportion of children moderately or severely wasted [2.2.2],Madhesh,Percent,13.9
2019,Proportion of children moderately or severely wasted [2.2.2],Bagmati,Percent,4.7
2019,Proportion of children moderately or severely wasted [2.2.2],Gandaki,Percent,8.0
2019,Proportion of children moderately or severely wasted [2.2.2],Lumbini,Percent,13.7
2019,Proportion of children moderately or severely wasted [2.2.2],Karnali,Percent,17.6
2019,Proportion of children moderately or severely wasted [2.2.2],Sudurpashchim,Percent,14.1
2014,Proportion of children moderately or severely overweight [2.2.2],,Percent,2.1
2019,Proportion of children moderately or severely overweight [2.2.2],,Percent,2.6
2019,Proportion of children moderately or severely overweight [2.2.2],Province 1,Percent,0.9
2019,Proportion of children moderately or severely overweight [2.2.2],Madhesh,Percent,3.8
2019,Proportion of children moderately or severely overweight [2.2.2],Bagmati,Percent,3.4
2019,Proportion of children moderately or severely overweight [2.2.2],Gandaki,Percent,3.0
2019,Proportion of children moderately or severely overweight [2.2.2],Lumbini,Percent,1.9
2019,Proportion of children moderately or severely overweight [2.2.2],Karnali,Percent,3.7
2019,Proportion of children moderately or severely overweight [2.2.2],Sudurpashchim,Percent,1.3
2014,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],,Percent,3.2
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],,Percent,2.9
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Province 1,Percent,2.7
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Madhesh,Percent,3.9
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Bagmati,Percent,1.1
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Gandaki,Percent,1.8
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Lumbini,Percent,3.6
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Karnali,Percent,3.9
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Sudurpashchim,Percent,3.6
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],,Percent,1.0
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Province 1,Percent,0.2
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Madhesh,Percent,1.5
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Bagmati,Percent,1.4
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Gandaki,Percent,2.0
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Lumbini,Percent,0.5
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Karnali,Percent,1.2
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Sudurpashchim,Percent,0.3
