Year,SERIES,Reference area,UNIT_MEASURE,Value
2014,Proportion of children moderately or severely stunted [2.2.1],,Percent,37.4
2019,Proportion of children moderately or severely stunted [2.2.1],,Percent,31.5
2019,Proportion of children moderately or severely stunted [2.2.1],Province 1,Percent,24.9
2019,Proportion of children moderately or severely stunted [2.2.1],Madhesh,Percent,34.2
2019,Proportion of children moderately or severely stunted [2.2.1],Bagmati,Percent,22.9
2019,Proportion of children moderately or severely stunted [2.2.1],Gandaki,Percent,22.6
2019,Proportion of children moderately or severely stunted [2.2.1],Lumbini,Percent,35.5
2019,Proportion of children moderately or severely stunted [2.2.1],Karnali,Percent,47.8
2019,Proportion of children moderately or severely stunted [2.2.1],Sudurpashchim,Percent,40.9
2014,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],,Percent,15.8
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],,Percent,11.8
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Province 1,Percent,8.0
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Madhesh,Percent,14.8
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Bagmati,Percent,7.3
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Gandaki,Percent,6.4
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Lumbini,Percent,13.0
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Karnali,Percent,20.5
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Sudurpashchim,Percent,15.4
