Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,Crude death rate attributed to household and ambient air pollution [3.9.1],,"Per 100,000 population",111.0
2018,Crude death rate attributed to household and ambient air pollution [3.9.1],,"Per 100,000 population",103.315385
2019,Crude death rate attributed to household and ambient air pollution [3.9.1],,"Per 100,000 population",98.192308
2020,Crude death rate attributed to household and ambient air pollution [3.9.1],,"Per 100,000 population",90.507692
2022,Crude death rate attributed to household and ambient air pollution [3.9.1],,"Per 100,000 population",77.7
2015,Age-standardized mortality rate attributed to ambient air pollution [3.9.1],,"Per 100,000 population",64.2
2018,Age-standardized mortality rate attributed to ambient air pollution [3.9.1],,"Per 100,000 population",59.755385
2019,Age-standardized mortality rate attributed to ambient air pollution [3.9.1],,"Per 100,000 population",56.792308
2020,Age-standardized mortality rate attributed to ambient air pollution [3.9.1],,"Per 100,000 population",52.347692
2022,Age-standardized mortality rate attributed to ambient air pollution [3.9.1],,"Per 100,000 population",44.94
2015,Age-standardized mortality rate attributed to household air pollution [3.9.1],,"Per 100,000 population",64.3
2018,Age-standardized mortality rate attributed to household air pollution [3.9.1],,"Per 100,000 population",59.848462
2019,Age-standardized mortality rate attributed to household air pollution [3.9.1],,"Per 100,000 population",56.880769
2020,Age-standardized mortality rate attributed to household air pollution [3.9.1],,"Per 100,000 population",52.429231
2022,Age-standardized mortality rate attributed to household air pollution [3.9.1],,"Per 100,000 population",45.01
